	ak_035166	ak_016465	ak_024143	ak_037037	ak_024401	ak_097125	ak_097366	ak_032645	ak_037693	ak_034033	ak_033463	ak_099390	ak_015445	ak_023546	ak_032440	op_033472	op_038401	op_102311	op_016307	op_023502	op_023870	op_098441	op_107201	op_035169	op_024146	op_024199	op_015958	op_032024	op_103496	op_023549
1776	1	0	1	6	0	0	0	0	0	0	1	0	7	1	6	1	0	0	2	1	5	0	0	2	6	3	0	0	4	18
1795	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0
1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0
1839	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	3	3	0	0	0
1862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	5	0	0	0	0	0	1	0	0	1	1	1
1867	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	2	2	0	0	0	8	4
1868	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0
1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
1934	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	14	0	0	0	0	0	1	0	0	0	2
1941	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	3	0	0
1966	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	0	6	0	0	0	0	2	0	0	0	0
1986	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2011	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	3	0	0	0	7
2044	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0
2059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	3	25
2060	0	0	0	0	0	0	1	0	3	0	7	3	0	0	3	25	3	0	1	0	1	2	0	0	0	10	4	0	0	1
2066	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1
